Instrution,Output
ရေယုန်ရောဂါဘယ်လိုကူးစက်သလဲ?,ရေယုန်သည် တိုက်ရိုက်ထိတွေ့မှုမှတစ်ဆင့် ကူးစက်နိုင်သည်။ လိင်ဆက်ဆံခြင်း၊ နမ်းရှိုက်ခြင်း၊ သို့မဟုတ် ရောဂါရှိသူ၏အရည်များနှင့်ထိတွေ့ခြင်းတို့မှတစ်ဆင့် ကူးစက်နိုင်သည်။
ရေယုန်ကိုဘယ်လိုကုသသလဲ?,ရေယုန်ကို antiviral ဆေးများဖြင့်ကုသနိုင်သည်။ ဥပမာ acyclovir၊ valacyclovir နှင့် famciclovir တို့ဖြစ်သည်။ ၎င်းတို့သည် ရောဂါလက္ခဏာများကိုသက်သာစေပြီး ကူးစက်မှုကိုလျော့နည်းစေသည်။
ရေယုန်ကိုဘယ်လိုကာကွယ်နိုင်သလဲ?,ရေယုန်ကိုကာကွယ်ရန် လိင်ဆက်ဆံရာတွင် condom သုံးခြင်း၊ ရောဂါရှိသူနှင့်တိုက်ရိုက်ထိတွေ့မှုရှောင်ကြဉ်ခြင်း၊ တစ်ကိုယ်ရေသန့်ရှင်းရေးကိုဂရုစိုက်ခြင်းတို့ပြုလုပ်နိုင်သည်။
ရေယုန်ရောဂါရှိပြီးဆိုရင် အမြဲတမ်းရှိနေမှာလား?,ရေယုန်ဗိုင်းရပ်စ်သည် ခန္ဓာကိုယ်အတွင်းအမြဲတမ်းရှိနေမည်ဖြစ်သည်။ သို့သော် ရောဂါလက္ခဏာများသည် အချိန်ကြာလာသည်နှင့်အမျှ ပိုမိုနည်းပါးလာတတ်သည်။
ရေယုန်ရောဂါရှိသူတွေ ကိုယ်ဝန်ဆောင်နိုင်သလား?,ရေယုန်ရှိသူများ ကိုယ်ဝန်ဆောင်နိုင်သည်။ သို့သော် မွေးဖွားချိန်တွင် ကလေးသို့ကူးစက်မှုမဖြစ်စေရန် ဆရာဝန်နှင့်တိုင်ပင်ကာ သင့်လျော်သောကုသမှုခံယူသင့်သည်။
ရေယုန်ရောဂါကြောင့် ဖြစ်နိုင်တဲ့ ပေါင်းစပ်ဆိုးကျိုးတွေက ဘာတွေလဲ?,ရေယုန်ကြောင့်ဖြစ်နိုင်သော ပေါင်းစပ်ဆိုးကျိုးများတွင် မျက်စိပိုးဝင်ခြင်း၊ ဦးနှောက်ရောင်ခြင်း၊ ခုခံအားကျဆင်းသူများတွင် ပိုမိုပြင်းထန်သောရောဂါလက္ခဏာများဖြစ်ပေါ်ခြင်းတို့ပါဝင်သည်။
ရေယုန်ဗိုင်းရပ်စ်ရဲ့ ဇီဝဗေဒဆိုင်ရာဖွဲ့စည်းပုံကို ရှင်းပြပါ,ရေယုန်ဗိုင်းရပ်စ်သည် double-stranded DNA ဗိုင်းရပ်စ်ဖြစ်သည်။ ၎င်းတွင် protein capsid နှင့် lipid envelope ပါဝင်သည်။ ဗိုင်းရပ်စ်မျက်နှာပြင်ပေါ်ရှိ glycoprotein များသည် ဆဲလ်များနှင့်ချိတ်ဆက်ရန်အထောက်အကူပြုသည်။

Rabies virus အကြောင်း အကျဉ်းချုပ် ဖော်ပြပါ။,Rabies virus သည် Rhabdoviridae မိသားစုဝင် Lyssavirus genus တွင် ပါဝင်သော neurotropic RNA ဗိုင်းရပ်စ် ဖြစ်သည်။ Rabies Virus သည် ခွေးရူးရောဂါကို ဖြစ်စေသည်။
Rabies virus ၏ ဖွဲ့စည်းပုံကို ရှင်းပြပါ။,Bullet-shaped ပုံသဏ္ဍာန်ရှိပြီး၊ single-stranded negative-sense RNA genome ပါရှိသည်။ Nucleoprotein၊ phosphoprotein၊ matrix protein၊ glycoprotein နှင့် RNA polymerase တို့ ပါဝင်သည်။
Rabies virus ပျံ့နှံ့ပုံကို ဖော်ပြပါ။,အဓိကအားဖြင့် ရောဂါရှိသော တိရစ္ဆာန်၏ သွားဖြင့်ကိုက်ခြင်းမှတစ်ဆင့် ပျံ့နှံ့သည်။ ထိုတိရစ္ဆာန်၏ သွားရည်တွင် ဗိုင်းရပ်စ်များ ပါဝင်သည်။
Rabies virus ၏ incubation period ကို ဖော်ပြပါ။,ပျမ်းမျှ 2-3 လ ကြာမြင့်သော်လည်း၊ 1 ပတ်မှ 1 နှစ်အထိ ကြာမြင့်နိုင်သည်။ ကိုက်ခံရသည့်နေရာနှင့် ဦးနှောက်၏ အကွာအဝေးပေါ် မူတည်သည်။
Rabies virus ကြောင့် ဖြစ်ပေါ်သော ရောဂါလက္ခဏာများကို ဖော်ပြပါ။,ဖျားခြင်း၊ ခေါင်းကိုက်ခြင်း၊ စိတ်လှုပ်ရှားခြင်း၊ ရေကြောက်ခြင်း (hydrophobia)၊ လေကြောက်ခြင်း (aerophobia)၊ ကြွက်သားတင်းခြင်းနှင့် အာရုံကြောစနစ် ပျက်စီးခြင်းတို့ ဖြစ်ပေါ်သည်။
Rabies virus သည် မည်သည့် တိရစ္ဆာန်များတွင် တွေ့ရှိရသနည်း။,ခွေး၊ ကြောင်၊ မြင်း၊ နွား၊ ဝက်ဝံ၊ မြေခွေး၊ ချွဲ၊ လင်းနို့နှင့် အခြားသော နို့တိုက်သတ္တဝါများတွင် တွေ့ရှိရသည်။
Rabies virus ကူးစက်ခံရပြီးနောက် မည်သည့်အချိန်တွင် ရောဂါလက္ခဏာများ စတင်ပေါ်လာသနည်း။,ရောဂါလက္ခဏာများ စတင်ပေါ်လာပါက သေဆုံးမှုနှုန်း 100% နီးပါး ရှိသည်။ ထို့ကြောင့် လက္ခဏာများ မပေါ်မီ ကာကွယ်ကုသမှု ခံယူရန် အရေးကြီးသည်။
Rabies virus ကို ဓာတ်ခွဲခန်းတွင် မည်သို့ စစ်ဆေးသနည်း။,Direct fluorescent antibody test၊ PCR၊ virus isolation နှင့် serological tests များဖြင့် စစ်ဆေးသည်။ သေဆုံးပြီးမှ ဦးနှောက်တစ်ရှူးကို စစ်ဆေးခြင်းဖြင့် အတည်ပြုနိုင်သည်။
Rabies virus ကို ကာကွယ်ရန် မည်သည့်နည်းလမ်းများ ရှိသနည်း။,Pre-exposure prophylaxis (ကြိုတင်ကာကွယ်ဆေးထိုးခြင်း) နှင့် post-exposure prophylaxis (ကိုက်ခံရပြီးနောက် ကာကွယ်ကုသခြင်း) တို့ ရှိသည်။ တိရစ္ဆာန်များကိုလည်း ကာကွယ်ဆေးထိုးပေးခြင်း ပါဝင်သည်။
Rabies virus  ၏ Post-exposure prophylaxis တွင် မည်သည့်အဆင့်များ ပါဝင်သနည်း။,ဒဏ်ရာကို ဆေးကြောသန့်စင်ခြင်း၊ rabies immunoglobulin ထိုးပေးခြင်းနှင့် rabies vaccine ထိုးပေးခြင်းတို့ ပါဝင်သည်။
Rabies virus ၏ မျိုးရိုးဗီဇ ဖွဲ့စည်းပုံကို ရှင်းပြပါ။,Single-stranded negative-sense RNA genome ဖြစ်ပြီး ဗီဇ 5 ခု ပါဝင်သည် - N (nucleoprotein)၊ P (phosphoprotein)၊ M (matrix protein)၊ G (glycoprotein) နှင့် L (RNA polymerase)။
Rabies virus သည် ခန္ဓာကိုယ်တွင်း မည်သို့ ပျံ့နှံ့သနည်း။,အာရုံကြောဆဲလ်များမှတစ်ဆင့် ဦးနှောက်နှင့် ကျောရိုးအာရုံကြောသို့ ရောက်ရှိသည်။ Retrograde axonal transport ဖြင့် ပျံ့နှံ့သည်။
Rabies virus ကို လေ့လာရာတွင် မည်သည့် လုံခြုံရေးအဆင့် လိုအပ်သနည်း။,Biosafety Level 3 (BSL-3) လုံခြုံရေးအဆင့်ရှိသော ဓာတ်ခွဲခန်းတွင် ကိုင်တွယ်လေ့လာရမည်။
Rabies virus ၏ ဆင့်ကဲဖြစ်စဉ်ကို အကျဉ်းချုပ် ဖော်ပြပါ။,လင်းနို့များတွင် စတင်ဖြစ်ပေါ်ခဲ့ပြီး အခြားနို့တိုက်သတ္တဝါများသို့ ကူးစက်ခဲ့သည်။ တိရစ္ဆာန်အမျိုးအစားအလိုက် ဗိုင်းရပ်စ် မျိုးကွဲများ ဖြစ်ပေါ်လာခဲ့သည်။
Rabies virus ကို ကမ္ဘာ့နိုင်ငံအသီးသီးတွင် မည်သို့ ထိန်းချုပ်နေသနည်း။,ခွေးများကို ကာကွယ်ဆေးထိုးပေးခြင်း၊ လှည့်လည်နေသော ခွေးများကို ထိန်းချုပ်ခြင်းနှင့် လူသားများအတွက် ကာကွယ်ဆေးများ ရရှိနိုင်အောင် ဆောင်ရွက်ခြင်းတို့ ပြုလုပ်သည်။
Rabies virus ၏ glycoprotein သည် မည်သည့်အခန်းကဏ္ဍတွင် ပါဝင်သနည်း။,Glycoprotein သည် host cell receptors နှင့် တွဲကပ်ရာတွင် အရေးပါပြီး၊ ဗိုင်းရပ်စ်၏ နျူရွန်ဆဲလ်များသို့ ဝင်ရောက်နိုင်စွမ်းကို ဆုံးဖြတ်ပေးသည်။
Rabies virus ကို ကုသရန် မည်သည့် ဆေးဝါးများ အသုံးပြုသနည်း။,လက်ရှိတွင် ရောဂါလက္ခဏာများ စတင်ပေါ်ပေါက်လာပါက ထိရောက်သော ကုသမှု မရှိသေးပါ။ Milwaukee protocol ဟုခေါ်သော နည်းလမ်းကို စမ်းသပ်အသုံးပြုခဲ့သော်လည်း အငြင်းပွားဖွယ် ဖြစ်နေသည်။
Rabies virus သည် ပတ်ဝန်းကျင်တွင် မည်မျှကြာ ရှင်သန်နိုင်သနည်း။,နေရောင်ခြည်တွင် မိနစ်အနည်းငယ်သာ ရှင်သန်နိုင်ပြီး၊ အခြေအနေပေါ်မူတည်၍ အခြားမျက်နှာပြင်များပေါ်တွင် နာရီပိုင်းမှ ရက်ပိုင်းအထိ ရှင်သန်နိုင်သည်။
Rabies virus ကြောင့် နှစ်စဉ် သေဆုံးသူ အရေအတွက်ကို ခန့်မှန်းပါ။,ကမ္ဘာတစ်ဝှမ်းတွင် နှစ်စဉ် လူပေါင်း 59000 ခန့် သေဆုံးနေကြောင်း WHO က ခန့်မှန်းထားသည်။ အများစုမှာ အာဖရိကနှင့် အာရှနိုင်ငံများမှ ဖြစ်သည်။
Rabies virus ၏ antigenic variants များကို ရှင်းပြပါ။,သက်ရှိအမျိုးအစားပေါ်မူတည်၍ antigenic variants များ ရှိသည်။ ဥပမာ - ခွေးမျိုးရိုး၊ ချွဲမျိုးရိုး၊ လင်းနို့မျိုးရိုးစသည်ဖြင့် ရှိသည်။ ၎င်းတို့၏ glycoprotein ဖွဲ့စည်းပုံ ကွဲပြားခြားနားသည်။
Rabies virus ကို ကာကွယ်ရန် oral vaccine များ အကြောင်း ဆွေးနွေးပါ။,တောရိုင်းတိရစ္ဆာန်များအတွက် အစားအစာတွင် ထည့်သွင်းထားသော oral vaccine များကို အသုံးပြုသည်။ ယင်းနည်းဖြင့် တောရိုင်းတိရစ္ဆာန်များမှ ဗိုင်းရပ်စ် ပျံ့နှံ့မှုကို ထိန်းချုပ်နိုင်သည်။
Rabies virus ကို စောင့်ကြည့်လေ့လာရာတွင် One Health approach ကို မည်သို့ အသုံးချသနည်း။,တိရစ္ဆာန်ကျန်းမာရေး၊ လူ့ကျန်းမာရေးနှင့် ပတ်ဝန်းကျင်ဆိုင်ရာ ကျွမ်းကျင်သူများ ပူးပေါင်း၍ ဗိုင်းရပ်စ် ပျံ့နှံ့မှုကို စောင့်ကြည့်လေ့လာသည်။ တိရစ္ဆာန်နှင့် လူသားများတွင် ဖြစ်ပွားမှုကို အတူတကွ လေ့လာသည်။

SARS နဲ့ MERS ဆိုတာ ဘာလဲ,SARS နဲ့ MERS ဆိုတာ coronavirus မျိုးစိတ်တွေကြောင့် ဖြစ်ပွားတဲ့ အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ရောဂါတွေ ဖြစ်ပါတယ်။ SARS ဆိုတာ Severe Acute Respiratory Syndrome ကို ဆိုလိုပြီး MERS ဆိုတာ Middle East Respiratory Syndrome ကို ဆိုလိုပါတယ်။
SARS ရဲ့ ရောဂါလက္ခဏာတွေက ဘာတွေလဲ,SARS ရဲ့ ရောဂါလက္ခဏာတွေထဲမှာ အဖျားတက်ခြင်း၊ ချောင်းဆိုးခြင်း၊ အသက်ရှူကြပ်ခြင်း၊ ကြွက်သားနာကျင်ခြင်း နဲ့ ခေါင်းကိုက်ခြင်းတို့ ပါဝင်ပါတယ်။
MERS ရဲ့ ရောဂါလက္ခဏာတွေက ဘာတွေလဲ,MERS ရဲ့ ရောဂါလက္ခဏာတွေထဲမှာ အဖျားတက်ခြင်း၊ ချောင်းဆိုးခြင်း၊ အသက်ရှူကြပ်ခြင်း၊ ဝမ်းလျှောခြင်း နဲ့ ပျို့အန်ခြင်းတို့ ပါဝင်ပါတယ်။
SARS ဘယ်လိုကူးစက်သလဲ,SARS ဟာ လေထဲမှာ ပျံ့နှံ့နေတဲ့ ဗိုင်းရပ်စ်ပါတဲ့ အမှုန်အမွှားလေးတွေကနေ ကူးစက်နိုင်ပါတယ်။ ရောဂါရှိသူနဲ့ နီးကပ်စွာ ထိတွေ့ခြင်းကနေလည်း ကူးစက်နိုင်ပါတယ်။
MERS ဘယ်လိုကူးစက်သလဲ,MERS ဟာ အဓိကအားဖြင့် ကုလားအုတ်တွေကနေ လူတွေဆီကို ကူးစက်ပါတယ်။ ရောဂါရှိသူနဲ့ နီးကပ်စွာ ထိတွေ့ခြင်းကနေလည်း လူချင်းကူးစက်နိုင်ပါတယ်။
SARS နဲ့ MERS ကို ဘယ်လိုကာကွယ်နိုင်သလဲ,SARS နဲ့ MERS ကို ကာကွယ်ဖို့ လက်ကို မကြာခဏဆေးပါ။ နှာခေါင်းစည်း တပ်ပါ။ ရောဂါရှိသူနဲ့ နီးကပ်စွာ ထိတွေ့ခြင်းကို ရှောင်ကြဉ်ပါ။ မျက်စိ၊ နှာခေါင်း နဲ့ ပါးစပ်ကို မသန့်တဲ့လက်နဲ့ မထိပါနဲ့။
SARS နဲ့ MERS ကို ဘယ်လိုကုသသလဲ,SARS နဲ့ MERS အတွက် တိကျတဲ့ကုသမှု မရှိသေးပါဘူး။ ရောဂါလက္ခဏာပေါ်မူတည်ပြီး ကုသပေးရပါတယ်။ အသက်ရှူပစ္စည်း၊ ရေဓာတ်ဖြည့်ခြင်း နဲ့ အခြားထောက်ပံ့ကုသမှုတွေ လုပ်ဆောင်ပေးရပါတယ်။
SARS နဲ့ MERS ကြားက အဓိကကွာခြားချက်တွေက ဘာတွေလဲ,SARS နဲ့ MERS ကြားက အဓိကကွာခြားချက်တွေကတော့ ဖြစ်ပွားတဲ့ဒေသ၊ ကူးစက်ပုံ နဲ့ သေဆုံးနှုန်းတို့ပဲ ဖြစ်ပါတယ်။ SARS က တရုတ်နိုင်ငံမှာ စတင်ခဲ့ပြီး MERS က အရှေ့အလယ်ပိုင်းဒေသမှာ စတင်ခဲ့ပါတယ်။
SARS နဲ့ MERS ရဲ့ သမိုင်းကြောင်းက ဘယ်လိုရှိသလဲ,SARS က 2003 ခုနှစ်မှာ တရုတ်နိုင်ငံမှာ စတင်ဖြစ်ပွားခဲ့ပြီး ကမ္ဘာအနှံ့ပျံ့နှံ့ခဲ့ပါတယ်။ MERS ကတော့ 2012 ခုနှစ်မှာ ဆော်ဒီအာရေဗီးယားမှာ စတင်တွေ့ရှိခဲ့ပါတယ်။
SARS နဲ့ MERS ရဲ့ ဗိုင်းရပ်စ်တွေက ဘယ်လိုကွာခြားသလဲ,SARS ကို SARS-CoV ဆိုတဲ့ coronavirus က ဖြစ်စေပြီး MERS ကိုတော့ MERS-CoV ဆိုတဲ့ coronavirus က ဖြစ်စေပါတယ်။ နှစ်ခုလုံးက coronavirus မျိုးနွယ်ဝင်တွေ ဖြစ်ပေမယ့် မတူညီတဲ့ မျိုးစိတ်တွေ ဖြစ်ပါတယ်။
SARS နဲ့ MERS ရဲ့ သေဆုံးနှုန်းက ဘယ်လောက်ရှိသလဲ,SARS ရဲ့ သေဆုံးနှုန်းက 10% ဝန်းကျင်ရှိပြီး MERS ရဲ့ သေဆုံးနှုန်းက 30-40% ခန့်ရှိပါတယ်။ MERS က SARS ထက် သေဆုံးနှုန်း ပိုမြင့်ပါတယ်။
SARS နဲ့ MERS အတွက် ကာကွယ်ဆေးရှိပါသလား,လက်ရှိအချိန်မှာ SARS နဲ့ MERS အတွက် အတည်ပြုထားတဲ့ ကာကွယ်ဆေး မရှိသေးပါဘူး။ သုတေသနတွေ ဆက်လက်လုပ်ဆောင်နေပေမယ့် အသုံးပြုဖို့ ခွင့်ပြုထားတဲ့ ကာကွယ်ဆေး မရှိသေးပါဘူး။
SARS နဲ့ MERS က ဘယ်သူတွေကို ပိုဖြစ်နိုင်သလဲ,SARS နဲ့ MERS က အသက်ကြီးသူတွေ၊ ရောဂါအခံရှိသူတွေ နဲ့ ကိုယ်ခံအားနည်းသူတွေမှာ ပိုဖြစ်နိုင်ပါတယ်။ ကျန်းမာရေးစောင့်ရှောက်မှုပေးသူတွေလည်း ရောဂါကူးစက်ခံရနိုင်ချေ ပိုများပါတယ်။
SARS နဲ့ MERS ရဲ့ ကမ္ဘာလုံးဆိုင်ရာ သက်ရောက်မှုက ဘယ်လိုရှိသလဲ,SARS နဲ့ MERS ဟာ ကမ္ဘာလုံးဆိုင်ရာ ကျန်းမာရေးအရေးပေါ်အခြေအနေတွေ ဖြစ်စေခဲ့ပါတယ်။ စီးပွားရေးထိခိုက်မှုတွေ၊ ခရီးသွားလာမှုကန့်သတ်ချက်တွေ နဲ့ ကျန်းမာရေးစနစ်တွေအပေါ် ဖိအားများ ဖြစ်ပေါ်စေခဲ့ပါတယ်။
SARS နဲ့ MERS ကို ဘယ်လိုရှာဖွေစစ်ဆေးသလဲ,SARS နဲ့ MERS ကို ရှာဖွေစစ်ဆေးဖို့ PCR စမ်းသပ်စစ်ဆေးမှုကို အသုံးပြုပါတယ်။ လည်ချောင်းနဲ့ နှာခေါင်းထဲက နမူနာတွေကို ယူပြီး ဗိုင်းရပ်စ်ရဲ့ မျိုးရိုးဗီဇပစ္စည်းတွေ ရှိမရှိ စစ်ဆေးပါတယ်။
SARS နဲ့ MERS က ကလေးတွေအပေါ် ဘယ်လိုသက်ရောက်မှုရှိသလဲ,SARS နဲ့ MERS က ကလေးတွေမှာ လူကြီးတွေလောက် ပြင်းထန်တဲ့ ရောဂါလက္ခဏာတွေ မဖြစ်လေ့ရှိပါဘူး။ ဒါပေမယ့် ကလေးတွေမှာလည်း ရောဂါပိုးကူးစက်နိုင်ပြီး အခြားသူတွေဆီ ပျံ့နှံ့စေနိုင်ပါတယ်။
SARS နဲ့ MERS က ကိုယ်ဝန်ဆောင်မိခင်တွေအပေါ် ဘယ်လိုသက်ရောက်မှုရှိသလဲ,ကိုယ်ဝန်ဆောင်မိခင်တွေဟာ SARS နဲ့ MERS ကြောင့် ပြင်းထန်တဲ့ ရောဂါလက္ခဏာတွေ ဖြစ်ပွားနိုင်ချေ ပိုများပါတယ်။ ပျက်ကျခြင်း၊ အချိန်မတိုင်ခင် မီးဖွားခြင်း နဲ့ ကလေးသေဆုံးခြင်းတို့ ဖြစ်နိုင်ချေ ပိုများပါတယ်။

Dengue virus အကြောင်း အကျဉ်းချုပ် ဖော်ပြပါ။,Dengue virus သည် Flaviviridae မိသားစုဝင် ဖြစ်ပြီး၊ သွေးလွန်တုပ်ကွေးရောဂါကို ဖြစ်စေသည်။ ၎င်းသည် mosquito-borne ဗိုင်းရပ်စ် ဖြစ်သည်။
Dengue virus ၏ serotypes များကို ဖော်ပြပါ။,Dengue virus တွင် serotypes လေးမျိုး ရှိသည် - DENV-1၊ DENV-2၊ DENV-3 နှင့် DENV-4 တို့ဖြစ်သည်။
Dengue virus ပျံ့နှံ့ပုံကို ရှင်းပြပါ။,Aedes aegypti နှင့် Aedes albopictus ခြင်များမှတစ်ဆင့် အဓိက ပျံ့နှံ့သည်။ ရောဂါပိုးပါသော ခြင်ကိုက်ခြင်းဖြင့် လူမှလူသို့ ကူးစက်သည်။
Dengue virus ကြောင့် ဖြစ်ပေါ်သော ရောဂါလက္ခဏာများကို ဖော်ပြပါ။,ဖျားခြင်း၊ ခေါင်းကိုက်ခြင်း၊ ကြွက်သားနာကျင်ခြင်း၊ အရေပြားပေါ်တွင် အနီစက်များထွက်ခြင်း၊ သွေးယိုစီးခြင်းနှင့် ပြင်းထန်ပါက သေဆုံးခြင်းအထိ ဖြစ်နိုင်သည်။
Dengue virus ၏ incubation period ကို ဖော်ပြပါ။,ပျမ်းမျှ 3-14 ရက် ကြာမြင့်တတ်ပြီး၊ အများစုမှာ 4-7 ရက်အတွင်း ရောဂါလက္ခဏာများ စတင်ပေါ်ပေါက်သည်။
Dengue virus ကို ဓာတ်ခွဲခန်းတွင် မည်သို့ စစ်ဆေးသနည်း။,RT-PCR၊ NS1 antigen test၊ IgM နှင့် IgG antibody tests များဖြင့် စစ်ဆေးသည်။ ရောဂါဖြစ်ပွားသည့် အဆင့်ပေါ်မူတည်၍ သင့်လျော်သော စစ်ဆေးမှုကို ရွေးချယ်သည်။
Dengue virus ကို ကာကွယ်ရန် မည်သည့်နည်းလမ်းများ ရှိသနည်း။,ခြင်ကိုက်ခံရခြင်းမှ ကာကွယ်ခြင်း၊ ခြင်ပေါက်ပွားမှု ထိန်းချုပ်ခြင်းနှင့် ကာကွယ်ဆေးထိုးခြင်းတို့ ပါဝင်သည်။ Dengvaxia ဟုခေါ်သော ကာကွယ်ဆေး ရရှိနိုင်သည်။
Dengue virus ၏ ဖွဲ့စည်းပုံကို ရှင်းပြပါ။,Envelope ပါရှိသော၊ အဝိုင်းပုံသဏ္ဍာန်ရှိသော ဗိုင်းရပ်စ် ဖြစ်သည်။ Single-stranded positive-sense RNA genome ပါရှိသည်။
Dengue virus ကြောင့် ဖြစ်ပွားသော ရောဂါအမျိုးအစားများကို ဖော်ပြပါ။,Dengue fever (DF)၊ Dengue hemorrhagic fever (DHF) နှင့် Dengue shock syndrome (DSS) ဟူ၍ အဓိက သွေးလွန်တုပ်ကွေးရောဂါအမျိုးအစား သုံးမျိုး ရှိသည်။
Dengue virus ၏ မျိုးရိုးဗီဇ ဖွဲ့စည်းပုံကို ရှင်းပြပါ။,ဗိုင်းရပ်စ်၏ genome သည် ခန့်မှန်းခြေ 11000 nucleotides ရှိပြီး၊ structural proteins (C၊ prM၊ E) နှင့် non-structural proteins (NS1၊ NS2A၊ NS2B၊ NS3၊ NS4A၊ NS4B၊ NS5) တို့ကို encode လုပ်သည်။
Dengue virus ကူးစက်ခံရပြီးနောက် ခန္ဓာကိုယ်တွင်း မည်သို့ ပျံ့နှံ့သနည်း။,ဗိုင်းရပ်စ်သည် ပထမဦးစွာ Langerhans cells များတွင် ပွားများပြီး၊ ထို့နောက် သွေးကြောများနှင့် lymphatic system မှတစ်ဆင့် တစ်ကိုယ်လုံးသို့ ပျံ့နှံ့သည်။
Dengue virus ကို လေ့လာရာတွင် မည်သည့် လုံခြုံရေးအဆင့် လိုအပ်သနည်း။,Biosafety Level 2 (BSL-2) လုံခြုံရေးအဆင့်ရှိသော ဓာတ်ခွဲခန်းတွင် ကိုင်တွယ်လေ့လာရမည်။
Dengue virus ကို ကုသရန် မည်သည့် ဆေးဝါးများ အသုံးပြုသနည်း။,သီးခြား ကုသနိုင်သော ဆေးဝါး မရှိသေးပါ။ ရောဂါလက္ခဏာပေါ်မူတည်၍ ကုသပေးခြင်း (supportive care) ဖြစ်သည်။ ရေဓာတ်ဖြည့်တင်းပေးခြင်းသည် အရေးကြီးသည်။
Dengue virus ၏ ဆင့်ကဲဖြစ်စဉ်ကို အကျဉ်းချုပ် ဖော်ပြပါ။,ပရိုင်းမိတ်များတွင် စတင်ဖြစ်ပေါ်ခဲ့ပြီး လူသားများသို့ ကူးစက်ခဲ့သည်ဟု ယူဆရသည်။ ကမ္ဘာအနှံ့ ပျံ့နှံ့လာသည်နှင့်အမျှ serotypes အမျိုးမျိုး ဖြစ်ပေါ်လာခဲ့သည်။
Dengue virus ကြောင့် ဖြစ်ပွားသော antibody-dependent enhancement (ADE) ကို ရှင်းပြပါ။,ယခင်က serotype တစ်မျိုးဖြင့် ကူးစက်ခံခဲ့ရသူသည် အခြား serotype တစ်မျိုးဖြင့် ထပ်မံကူးစက်ခံရပါက ပိုမိုပြင်းထန်သော ရောဂါလက္ခဏာများ ဖြစ်ပေါ်နိုင်သည်။
Dengue virus ကာကွယ်ဆေး ထုတ်လုပ်ရာတွင် ကြုံတွေ့ရသော စိန်ခေါ်မှုများကို ဖော်ပြပါ။,Serotypes လေးမျိုးလုံးအတွက် ထိရောက်မှုရှိရန်၊ ADE ဖြစ်ပွားမှုကို ရှောင်ရှားရန်နှင့် ကာကွယ်မှု ကြာရှည်စွာ ပေးနိုင်ရန်တို့မှာ အဓိက စိန်ခေါ်မှုများ ဖြစ်သည်။
Dengue virus နှင့် Zika virus တို့၏ ဆက်စပ်မှုကို ရှင်းပြပါ။,နှစ်မျိုးလုံးသည် Flavivirus genus တွင် ပါဝင်ပြီး၊ ဆင်တူသော ခြင်များမှ ကူးစက်သည်။ ၎င်းတို့၏ ဗီဇဆင်တူမှုကြောင့် ရောဂါရှာဖွေရာတွင် cross-reactivity ဖြစ်ပွားနိုင်သည်။
Dengue virus သုတေသနတွင် လက်ရှိ အာရုံစိုက်နေသော နယ်ပယ်များကို ဖော်ပြပါ။,ပိုမိုကောင်းမွန်သော ရောဂါရှာဖွေရေး နည်းပညာများ၊ ထိရောက်သော ကာကွယ်ဆေးများ၊ ခြင်ထိန်းချုပ်ရေး နည်းဗျူဟာများနှင့် ရောဂါဖြစ်ပွားပုံ ယန္တရားများကို လေ့လာခြင်းတို့ ပါဝင်သည်။
Dengue virus ကာကွယ်ထိန်းချုပ်ရေးတွင် ရာသီဥတု ပြောင်းလဲမှု၏ သက်ရောက်မှုကို ဆွေးနွေးပါ။,ရာသီဥတု ပြောင်းလဲမှုက ခြင်များ၏ ပျံ့နှံ့မှုနှင့် ရာသီကာလကို ပြောင်းလဲစေနိုင်သည်။ ဒေသအသစ်များတွင် ရောဂါဖြစ်ပွားမှု တိုးပွားလာနိုင်ပြီး၊ ကာကွယ်ထိန်းချုပ်ရေး စီမံကိန်းများကို ပြောင်းလဲရန် လိုအပ်လာနိုင်သည်။

ပိုလီယိုရောဂါ (Poliomyelitis) ကို ဖြစ်ပွားစေသော ပိုးမွှားက ဘာလဲ?,ပိုလီယိုရောဂါကို poliovirus ဟုခေါ်သော ဗိုင်းရပ်စ်ပိုးက ဖြစ်ပွားစေသည်။
Poliovirus ၏ သွင်ပြင်လက္ခဏာများကို ဖော်ပြပါ။,Poliovirus သည် non-enveloped၊ single-stranded RNA ဗိုင်းရပ်စ်ဖြစ်ပြီး icosahedral symmetry ရှိသည်။ ၎င်း၏ အရွယ်အစားမှာ 30 နာနိုမီတာခန့်ရှိသည်။
Poliovirus ၏ serotypes ဘယ်နှစ်မျိုးရှိသလဲ?,Poliovirus တွင် serotypes သုံးမျိုးရှိသည် - type 1၊ type 2 နှင့် type 3 တို့ဖြစ်သည်။
ပိုလီယိုရောဂါပိုး မည်သို့ကူးစက်ပျံ့နှံ့သနည်း?,ပိုလီယိုရောဂါပိုးသည် fecal-oral route မှတစ်ဆင့် အဓိကကူးစက်ပျံ့နှံ့သည်။ ညစ်ညမ်းသောရေနှင့် အစားအစာများမှလည်း ကူးစက်နိုင်သည်။
Poliovirus ၏ incubation period က ဘယ်လောက်ကြာသလဲ?,Poliovirus ၏ incubation period သည် ပျမ်းမျှအားဖြင့် ၇-၁၀ ရက်ကြာမြင့်သည်။ သို့သော် ၄-၃၅ ရက်အထိ ကြာနိုင်သည်။
